phi,S
1.7480021936151364,0.10388953634972131
1.7499644679809707,0.10487783379065785
1.7519267423468052,0.10586870776007862
1.7538890167126397,0.1068621348623495
1.755851291078474,0.10785809170217459
1.7578135654443083,0.10885655488301317
1.7597758398101429,0.10985750100551653
1.7617381141759774,0.11086090666598439
1.7637003885418117,0.11186674845484049
1.765662662907646,0.11287500295512606
1.7676249372734805,0.11388564674101005
1.769587211639315,0.11489865637631563
1.7715494860051493,0.11591400841306283
1.7735117603709836,0.11693167939002605
1.775474034736818,0.11795164583130532
1.7774363091026526,0.1189738842449111
1.779398583468487,0.11999837112136226
1.7813608578343212,0.1210250829322964
1.7833231322001557,0.12205399612909112
1.7852854065659902,0.12308508714149625
1.7872476809318245,0.12411833237627685
1.789209955297659,0.125153708215866
1.7911722296634935,0.12619119101702564
