phi,U
1.1867917249864954,-0.4783527215981478
1.1887539993523297,-0.47835755118914547
1.1907162737181642,-0.4783609452436056
1.1926785480839985,-0.4783629107753309
1.194640822449833,-0.4783634548036244
1.1966030968156673,-0.4783625843532624
1.1985653711815019,-0.47836030645446814
1.2005276455473362,-0.47835662814288404
1.2024899199131707,-0.47835155645954475
1.2044521942790052,-0.47834509845085016
1.2064144686448395,-0.47833726116853836
1.2083767430106738,-0.4783280516696582
1.2103390173765083,-0.4783174770165426
1.2123012917423428,-0.4783055442767804
1.214263566108177,-0.4782922605231905
1.2162258404740114,-0.4782776328337933
1.218188114839846,-0.4782616682917846
1.2201503892056804,-0.47824437398550756
1.2221126635715147,-0.4782257570084252
1.224074937937349,-0.4782058244590939
1.2260372123031835,-0.4781845834411359
